"unit","name","start","end","agency","cdf","other","totalacres","vegType","cause","homes"
"Six Rivers NF","Duzen","09/11","09/13","USFS",0,415,415,"TB","N/A",
"Lake-Napa","Steele Canyon","09/11","09/12","CDF",600,0,600,"B","Arson",
"Lake-Napa","Silverado","09/11","09/14","CDF",4130,0,4130,"TBGW","Misc .",1
"Lassen-Modoc","Rave","09/09","09/09","BIM",0,3500,3500,"GB","Equip. Use",
"Shasta-Trinity","Chalk Reservoir","08/24","08/26","CDF",3800,0,3800,"WGB","Debris",
"Klamath NF","Five","07/21","07/26","NF",0,1800,1800,"TB","N/A",
"Fresno-Kings","Johnson","05/16","05/16","CDF",1760,0,1760,"G","Equip . Use",
"Madera-Mariposa","Temperance Flat","07/31","08/03","CDF",7770,0,7770,"GB","Campfire",
"Kern County","Sheep's Trail","06/07",,"CC",0,3029,3029,"N/A","N/A",
"Tulare","Roble Lomas","09/13","09/13","CDF",725,,725,"B",,
"Kern County","Jury","07/25","07/25","CC",0,640,640,"N/A","N/A",
"Tulare","Oak Flat","08/23","08/24","CDF",310,0,310,"G","Equip. Use",
"Tuolumne-Calaveras","Keystone","07/27","07/29","CDF",2778,0,2778,"GAP","Misc.",
"San Benito-Monterey","P . G . & E . #13","07/27","07/27","CDF",835,0,835,"WB","Misc.",
"San Benito-Monterey","Cognina","09/08","09/08","CDF",2450,0,2450,"WBG","Arson",
"San Benito-Monterey","Diablo Canyon","10/16","10/18","CDF",2200,0,2200,"GB","Misc.",
"Santa Clara","Sweeny","09/06","09/07","CDF",1282,0,1282,"GB","Smoking",
"Riverside","Fox","08/09","08/09","CDF",550,0,550,"B","Arson",
"Riverside","Rawson","08/09","08/10","CDF",1277,0,1277,"BG","Equip . Use",
"Riverside","Blaine","08/18","08/19","CDF",320,0,320,"BG","Play W/Fire",
"Riverside","Village","08/20","08/22","USFS",2055,1295,3350,"B","Lightning",
"Orange County","Gypsum","10/09","10/11","CC",0,16800,16800,"B","Misc .",14
"San Bernardino NF","Yuma","09/02","09/03","USFS",0,800,800,"BG","N/A",
"San Bernardino","Stockton","09/23","09/24","USFS",0,450,450,"BG","N/A",
"Ventura County","Haul","10/08","10/09","CC",,3000,3000,"BG","Arson",65
"Ventura & Los Angeles","Dayton","10/09","10/11","CC",0,54000,54000,"BG","Arson",
"San Diego","Tule","06/10","06/12","CDF",4321,0,4321,"BG","Misc.",
"San Diego","Bell Valley","08/19","08/20","CDF",562,31,593,"B","Campfire",
"San Diego","Otay #9","10/11","10/11","CDF",782,0,782,"B","Equip . Use",
"San Diego","Dulzura","10/23","10/25","CDF",5019,0,5019,"B","Debris",7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,".CDF",,,,,,
