"INCIDENT","CONTAINED","RANGERUNIT","FIRENAME","START","CONT","ORIGIN","ACRESBURNED","OTHER","TOTAL","VEGTYPE","CAUSE","STRUCTURES_DEST","STRUCTURES_DAM","FATALITIES_FIRE","FATALITIES_CIVIL"
"FKU-19","100%","Sequoia NF","USFS #1","01/01/01","01/04/01","USFS",,303,303,"na","na","na","na","na","na"
"MVU-53","100%","San Diego","Viejas","01/03/01","01/08/01","CDF","2,300","8,053","10,353","B","Smoking",16,13,0,0
"TGU-2166","100%","Tehama","M-9 Fire","05/09/01","05/09/01","USFS",,351,351,"na","Under Invest.","na","na","na","na"
"SKU-1500","100%","Siskiyou","Jones","05/09/01","05/14/01","USFS",,"1,440","1,440","na","Debris","na","na","na","na"
"LMU-00993","50%","Lassen-Modoc","Hilton","05/20/01","05/23/01","CDF",390,,390,"T","Debris",2,0,0,0
"BTU-5556","100%","Butte","Larkin","05/20/01","05/21/01","LOCAL",,400,400,"W","Equip. Use",2,0,0,0
"SQF-622","100%","Tulare","White","05/23/01","05/26/01","USFS",,332,332,,"Under Invest.",,,,
"LMU-01100","100%","Lassen","Devil","05/27/01","06/01/01","CDF","4,400",,"4,400","T","Equip. Use",0,0,0,0
"TGU-2791","100%","Tehama","Freeman","05/29/01","05/29/01","CDF",390,,390,"G","Vehicle",0,0,0,0
"SHU-4405","100%","Trinity","Big","06/02/01","06/03/01","USFS",,800,800,"na","Under Invest.","na","na","na","na"
"4269 no rept.","100%","Imperial","Powerline","06/03/01",,"BLM",,777,777,"na","Under Invest.","na","na","na","na"
"HUU-002020","100%","Humboldt","Flat","06/05/01","06/05/01","CDF",300,,300,"TG","Campfire",0,0,0,0
"MMU-9668","100%","Madera-Mariposa",165,"06/13/01","06/13/01","LOCAL",,"1,500","1,500","G","Undetermined",0,0,0,0
"BEU-2101","100%","San Benito","San Benito Cattle Co.","06/13/01","06/13/01","CDF",580,,580,"G","Arson",0,0,0,0
"TGU-3132","100%","Tehama","Hog","06/13/01","06/13/01","CDF",340,,340,"G","Equip. Use",0,0,0,0
"AEU-8312","100%","Amador","Jackson","06/13/01","06/13/01","CDF","2,240",,"2,240","GWB","Welding",15,1,0,0
"MMU-9689","100%","Merced","Merced Falls Fire","06/13/01","06/14/01","CDF",400,,400,"GWB","Weadeater",2,0,0,0
"MMU-9668","100%","Merced","Assist SNF-562","06/13/01","06/13/01","LOCAL",,"1,200","1,200","G","Under Invest.",0,0,0,0
"BDU-4825","100%","San Bernardino","Hemlock","06/14/01","06/20/01","USFS",,"1,074","1,074","na","Escape","na","na","na","na"
"MMU-9893","100%","Merced","Pacheco","06/16/01","06/17/01","CDF","1,550",,"1,550","GB","Vehicle",0,0,0,0
"BDU4918","100%","San Bernardino","Shinn","06/16/01","06/18/01","USFS",,300,300,"na","Under Invest.","na","na","na","na"
"NEU-9855","100%","Nevada","Martis","06/17/01","07/01/01","DF/USF","5,600","8,900","14,500","T","Campfire",5,0,0,0
"RRU-41162","100%","Riverside Palm Spgs.","Tram","06/17/01","06/18/01","CDF",393,,393,"B","Arson",0,0,0,0
"TGU-3255","100%","Tehama","Red Bank","06/17/01","06/17/01","CDF",650,,650,"G","Vehicle",0,0,0,0
"SQF-1152","100%","Kern","Canyon","06/18/01","06/19/01","USFS",,566,566,,"Under Invest.",,,,
"MEU-4411","100%","Mendocino","Ridge","06/23/01","06/25/01","CDF",610,,610,"TGB","Equip. Use",0,0,0,0
"SQF-1225","100%","Tulare Sequoia NF","Democrat","06/23/01","06/25/01","USFS",,550,550,"na","Under Invest.","na","na","na","na"
"RRU-42668","100%","Riverside","Watkins","06/23/01","06/24/01","CDF","1,104",303,"1,407","G","Arson",0,1,0,0
