"",,,DATE,,ACRES BURNED,VEG.,,STRUCTURESFATALITIES
INC. # COUNTY,,FIRE NAME,START CONT. DPA,,CDF OTHER TOTAL,TYPE,CAUSE,DEST. DAM. FIRE CIVIL
BDF-3917 SAN BERNARDINO,,UPPER SANTA ANA,03/25/04 03/26/04 USFS,,350 350,BT,ESCAPE,1 0 0 0
SHF-000443 TEHAMA,,SHF ASSIST (HAMILTON),04/09/04 04/12/04 USFS,,301 301,T,HUMAN,0 0 0 0
RRU-032913 RIVERSIDE,,PLEASURE FIRE,04/25/04 04/26/04 CDF,,"2,464 2,464",GB,VEHICLE,9 0 0 0
MVU-003337 SAN DIEGO,,ASSIST #31 (INDIA FIRE),05/02/04 05/03/04 MIL.,,"2,040 2,040",BT,UI,0 0 0 0
RRU-35190 RIVERSIDE,,EAGLE,05/02/04 05/07/04 CDF,,"8,831 8,831",BT,UNDETERMINED,41 0 0 0
RRU-35197 RIVERSIDE,,GAFFORD,05/02/04 05/03/04 CDF,,450 450,GB,UNDETERMINED,0 0 0 0
RRU-35567 RIVERSIDE,,SCHOOL INC.,05/03/04 05/03/04 CDF,,377 377,BT,DEBRIS,0 0 0 0
RRU-035517 RIVERSIDE,,CERRITO FIRE 681,05/03/04 05/07/04 CDF,,"16,460 16,460",B,UNDETERMINED,28 0 0 0
SLU-3169 SANTA BARBARA,,ASSIST #6 (CACHUMA),05/03/04 05/07/04 LOC,,"1,127 1,127",B,UI,1 0 0 0
TUU-004886 TULARE,,FRAZIER,05/07/04 05/07/04 CDF,,750 750,G,EQUIP. USE,0 0 0 0
RRU-38418 RIVERSIDE,,COTTONWOOD,05/12/04 05/15/04 CDF,,"1,845 1,845",TBG,CAMPFIRE,0 0 0 0
CA-PNF-379 PLUMAS,,COTTONWOOD,05/18/04 05/18/04 USFS,,560 560,T,HUMAN,0 0 0 0
TUU-005509 TULARE,,STAGE,05/21/04 05/21/04 CDF,,313 313,G,POWERLINE,0 0 0 0
MMU-8972 MERCED,,BASALT,05/21/04 05/21/04 CDF,,300 300,G,EQUIP. USE,0 0 0 0
NEU-009119 YUBA,,BEALE,06/03/04 06/03/04 CDF,,300 300,G,POWERLINE,0 0 0 0
SCU-003038 SANTA CLARA,,PRIDMORE,06/04/04 06/04/04 CDF,,300 300,G,VEHICLE,0 0 0 0
SBC-4032 SANTA BARBARA,,GAVIOTA,06/05/04 06/11/04 CC,,"7,440 7,440",BGT,UI,4 0 0 0
TUU-006407 TULARE,,CASTLE,06/08/04 06/08/04 CDF,,571 571,G,UNDETERMINED,0 0 0 0
SNF-1029 MADERA,,SOURCE,06/16/04 06/16/04 USFS,,385 385,TBG,UI,0 0 0 0
SQF-1461 TULARE,,CRAG,06/24/04 06/24/04 USFS,,871 871,BT,LIGHTNING,0 0 0 0
TUU-6885 KERN,,KERN #11 (WEST FIRE),06/18/04 06/18/04 CC,,550 550,GB,HUMAN,0 0 0 0
AEU-010202 AMADOR,,MOKE ASSIST,06/20/04 06/20/04 USFS,,400 400,BT,UNDETERMINED,0 0 0 0
LMU-1852 LASSEN,,SKEDADDLE,06/22/04 06/24/04 USFS,,368 368,GB,LIGHTNING,0 0 0 0
BDU-6547 LOS ANGELES,,ASSIST ANF (INTERSTATE06/26/04,06/26/04 USFS,,300 300,B,HUMAN,0 0 0 0
FKU-007654 FRESNO,,FKU-7654,06/26/04 06/26/04 LOC,,"5,000 5,000",AP,CONTROL BURN,0 0 0 0
MMU-018987MARIPOSA,,MEADOW,06/27/04 07/01/04 USFS,,"5,060 5,060",T,LIGHTNING,0 0 0 0
LNP-2017 SHASTA,,BLUFF WFU,06/28/04 n/a NPS,,"3,304 3,304",T,LIGHTNING,0 0 0 0
BEU-002411 MONTEREY,,CABEU002411 (CHULAR),06/30/04 07/01/04 CDF,,300 300,GB,POWERLINE,0 0 0 0
TGU-003837 TUOLUMNE,,"BLACK, H",07/01/04 07/01/04 CDF,,375 375,G,LIGHTNING,0 0 0 0
MVU-5269 SAN DIEGO,,WARNER,07/01/04 07/01/04 CDF,,600 600,B,UNDETERMINED,0 0 0 0
RRU-055439 RIVERSIDE,,VERBENIA,07/11/04 07/16/04 CDF,,"3,833 3,833",TGB,UNDETERMINED,0 0 0 0
SCU-3829 SANTA CRUZ,,CORRAL HOLLOW,07/10/04 07/11/04 CDF,,700 700,G,ELEC. POW.,0 0 0 0
FKU-08513 FRESNO,,GATOS,07/11/04 07/13/04 CDF,,"1,307 1,307",B,POWERLINE,8 1 0 0
NEU-011956 PLACER,,SUNSET,07/13/04 07/13/04 LOC,,320 320,G,UNDETERMINED,0 0 0 0
SCU-003929 SANTA CLARA,,SILVER,07/15/04 07/16/04 LOC,,435 435,GT,UI,0 0 0 0
BDU-7509 LOS ANGELES,,PINE,07/12/04 07/21/04 CC,,"17,418 17,418",B,HUMAN,15 4 1 0
MVU-5659 SAN DIEGO,,MATAGUARY,07/13/04 07/15/04 CDF,,"8,649 8,649",GB,P/W/F,3 0 0 0
RRU-056039 RIVERSIDE,,LAKEVIEW,07/13/04 07/13/04 CDF,,350 350,B,UNDETERMINED,2 0 0 0
TUU-008451 KERN,,ROCKYKRN#1,07/14/04 07/14/04 CC,,510 510,B,UI,5 0 0 0
RRU-57236 RIVERSIDE,,STATE (MELTON),07/17/04 07/20/04 CDF,,"3,667 3,667",B,MISC.,20 0 0 0
BDU-7498 LOS ANGELES,,ASSIST (FOOTHILL),07/17/04 07/21/04CC/USFS,,"6,002 6,002",B,UI,0 0 0 0
FKU-008892 FRESNO,,MENDOTA,07/18/04 07/18/04 LOC,,500 500,G,SMOKING,0 0 0 0
SBC-5251 SANTA BARBARA,,JALAMA,07/20/04 07/22/04 LOC,,307 307,G,UI,0 0 0 0
TUU-5791 STANISLAUS,,PELICAN,07/19/04 07/24/04 LOC,,"1,500 1,500",G,HUMAN,0 0 0 0
ANF-002517 LOS ANGELES,,ASSIST (CROWN COMPLE 07/20/04,07/23/04 USFS,,"18,026 18,026",GB,HUMAN,7 0 0 0
"",,,DATE,,ACRES BURNED,VEG.,,STRUCTURESFATALITIES
INC. # COUNTY,FIRE NAME,,START CONT. DPA,,CDF OTHER TOTAL,TYPE,CAUSE,DEST. DAM. FIRE CIVIL
TUU-008884 KERN,USFS #6 (CAMP),,07/22/04 07/23/04 USFS,,700 700,GB,HUMAN,0 0 0 0
RRU-58691 RIVERSIDE,STATE (CITRUS),,07/22/04 07/22/04 CDF,,750 750,G,UNDETERMINED,0 0 0 0
LMU-2537 LASSEN,STRAYLOR,,07/22/04 07/29/04 CDF,,"3,422 3,422",T,VEHICLE,0 0 0 0
SKU-003136 SISKIYOU,LIGHT#37,,07/24/04 07/24/04 CDF,,400 400,G,LIGHTNING,0 0 0 0
SKU-003140 SISKIYOU,IRONGATE,,07/24/04 07/26/04 CDF,,"2,400 2,400",W,LIGHTNING,0 0 0 0
SRF-3784 TRINITY/HUMBOLDTSIMS,,,07/28/04 08/03/04 USFS,,"4,030 4,030",T,UI,4 1 0 0
TCU-006431 CALAVERAS,ARMSTRONG #2,,07/27/04 08/14/04 CDF,,879 879,B,ARSON,2 0 0 0
TCU-006440 CALAVERAS,HWY 4 #2 (COPPER),,08/06/04 08/09/04 CDF,,"3,443 3,443",GWB,UNDETERMINED,0 0 0 0
SCU-4410 SANTA CLARA,KINCAID,,08/08/04 08/10/04 CDF,,"1,246 1,246",W,UNDETERMINED,0 0 0 0
NEU-13741 PLACER,STEVENS,,08/08/04 08/12/04 CDF,,934 934,B,ELEC. POW.,2 0 0 0
MEU-006378 MENDOCINO,CREEK,,08/08/04 08/11/04 CDF,,328 328,TGB,UNDETERMINED,0 0 0 0
BTU-009671 BUTTE,OREGON,,08/11/04 08/15/04 CDF,,"2,030 2,030",GB,ELEC. POW.,4 0 0
BDU-9291 LOS ANGELES,EAST ANF 2861,,08/07/04 08/09/04 USFS,,"1,330 1,330",B,N/A,0 0 0 0
TCU-006563 CALAVERAS,HUNT,,08/10/04 08/12/04 CDF,,600 600,B,EQUIP. USE,1 0 0 0
TCU-006534 TUOLUMNE,EARLY,,08/11/04 08/09/04 USFS,,"1,670 1,670",TB,UI,0 0 0 0
SHU-006278 SHASTA,BEAR,,08/11/04 08/16/04 CDF,,"10,848 10,848",TW,EQUIP. USE,86 28 0 0
TUU-009943 TULARE,DEEP,,08/12/04 08/16/04 USFS,,"3,148 3,148",B,HUMAN,0 0 0 0
LMU-2930 LASSEN,NOD BBT4 (SNAKE),,08/13/04 08/16/04 BLM,,500 500,GB,LIGHTNING,0 0 0 0
NOD-2946 LASSEN,STONEY,,08/13/04 08/16/04 BLM,,500 500,B,LIGHTNING,0 0 0 0
LMU-002930 LASSEN,LGT#60 (BELFAST),,08/13/04 08/16/04CDF/BLM,,500 500,B,LIGHTNING,0 0 0 0
SHU-006398 SHASTA,FRENCH,,08/14/04 08/20/04 CDF,,"13,005 13,005",TB,UNDETERMINED,30 15 0 0
LNU-6125 SOLANO,MIX (VACA),,08/18/04 08/20/04 CDF,,377 377,W,ARSON,0 0 0 0
LNU-006346 LAKE/SONOMA,LONG,,08/26/04 08/26/04 CDF,,400 400,GB,UNDETERMINED,1 0 0 0
MMU-016500MARIPOSA,BEAR,,09/02/04 09/04/04 CDF,,400 400,B,UNDETERMINED,5 10 0 0
LNU-006644 LAKE,GEYSERS,,09/03/04 09/08/04 CDF,,"12,525 12,525",TWB,ELEC. POW.,21 0 0 0
TCU-007413 CALAVERAS,PATTISON,,09/03/04 09/05/04 CDF,,"2,476 2,476",GB,VEHICLE,125 3 0 0
LNU-006675 NAPA,CEMENT,,09/04/04 09/04/04 CDF,,"1,100 100 1,200",GB,UNDETERMINED,0 0 0 0
AEU-015503 SACRAMENTO,SCOTT,,09/04/04 09/04/04 CDF,,700 700,G,UNDETERMINED,0 0 0 0
BDU-9520 SAN BERNARDINO,ASSIST - RUNAWAY,,09/07/04 09/09/04 USFS,,"1,007 1,007",BG,UI,0 1 0 0
LNU-6821 MARIN,DOLCINI,,09/07/04 09/09/04 CC,,360 360,B,UI,0 0 0 0
TUU-11429 KERN,CHINA,,09/11/04 09/12/04 USFS,,314 314,GB,UI,0 0 0 0
MMU-017290MARIPOSA,OLD HIGHWAY,,09/12/04 09/15/04 CDF,,"1,347 1,347",B,DEBRIS,0 0 0 0
MVU-007603 SAN DIEGO,BORDER #16,,09/13/04 09/13/04 CDF,,965 965,B,UNDETERMINED,1 0 0 0
TCU-007765 TUOLUMNE,STF #2191,,09/12/04 09/12/04 USFS,,800 800,TB,UI,0 0 1 0
AEU-017646 AMADOR,POWER,,10/06/04 10/21/04 USFS,,"16,800 16,800",T,UI,0 0 0 0
LNU-007867 YOLO,RUMSEY,,10/10/04 10/16/04 CDF,,"39,138 39,138",B,UNDETERMINED,6 1 0 0
AEU-018044EL DORADO,FREDS,,10/13/04 10/17/04 USFS,,"7,700 7,700",B,UI,0 0 0 0
"",,,82 Large FiresTotals,,"152,455 112,533 264,988",,,432 64 2 0
