"INCIDENT","CONTAINED","COUNTY","FIRENAME","START","CONT","ORIGIN","ACRESBURNED","OTHER","TOTAL","VEGTYPE","CAUSE","STRUCTURES_DEST","STRUCTURES_DAM","FATALITIES_FIRE","FATALITIES_CIVIL"
"FKU-5279","100%","FRESNO","CLAYTON","5/15/05","05/16/05","LOCAL",,300,300,"G","ARSON",0,0,0,0
"FKU-5337","100%","FRESNO","BLM #1(APRICOT)","05/17/05","05/17/05","CDF/BLM",667,,667,"G","CAMPFIRE",0,0,0,0
"FKU-5326","100%","FRESNO","MENDOTA","05/17/05","05/17/05","LOCAL",,800,800,"G","RAILROAD",0,0,0,0
"RRU-41175","100%","RIVERSIDE","JOHNSON RANCH VMP","05/19/05","06/01/05","CDF",417,,417,"G","PRESCRIBED",0,0,0,0
"TUU-5938","100%","TULARE","LEHIGH KERN #7","06/02/05","06/02/05","CDF/CC",800,,800,"GB","HUMAN",0,0,0,0
"RRU-46137","100%","RIVERSIDE","STATE 783 (ELM)","06/02/05","06/04/05","CDF",300,,300,"G","UNDET.",0,0,0,0
"MMU-9861","100%","MERCED","DOS AMIGOS","06/03/05","06/03/05","CDF",1232,,1232,"G","VEHICLE",0,0,0,0
"FKU-06116","100%","FRESNO","FIVE","06/04/05","06/05/05","CDF",5514,,5514,"G","VEHICLE",0,0,0,0
"SCU-2125","100%","STANISLAUS","SPERRY","06/04/05","06/04/05","CDF",1330,,1330,"G","VEHICLE",0,0,0,0
"SCU-2142","100%","CONTRA COSTA","VASCO","06/05/05","06/05/05","CDF",320,,320,"G","VEHICLE",0,0,0,0
"BDU-5678","100%","SAN BERNARDINO","CITY (DULCE)","06/06/05","06/07/05","LOCAL",,625,625,,"HUMAN",0,0,0,0
"BDU-6148","100%","SAN BERNARDINO","PIONEER","06/18/05","06/19/05","CDF",1876,,1876,"GB","UNDET.",0,0,0,0
"BDU-6312","100%","SAN BERNARDINO","PARADISE","06/22/05","06/25/05","CDF",3082,,3082,"B","UNDET.",6,8,0,0
