"",CON-,,,DATE,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES,,,,
INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,TYPE,CAUSE,DEST.,DAM.,FIRE,CIVIL
BDU-861,100%,SAN BERNARDINO,PLUNGE,01/22/06,02/02/06,USFS,,485,485,B,UI,0,0,0,0
RRU-10978,100%,RIVERSIDE/ORANGE,ASSIST CNF (SIERRA),02/06/06,02/06/06,USFS,,10584,10584,B,HUMAN,0,0,0,0
SKU-906,100%,SISKIYOU,COMMAND),02/25/06,02/27/06,CDF,1521,1498,3019,B,MISC,4,0,0,0
FKU-3779,100%,FRESNO,ALMAZAN (TORCH),05/13/06,05/14/06,CDF,1964,,1964,G,EQUIP. USE,0,0,0,0
BTU-8035,100%,PLUMAS,ASSIST (GREASE),05/16/06,05/16/06,USFS,,366,366,TB,UI,0,0,0,0
SCU-3133,100%,STANISLAUS,STUHR,05/26/06,05/26/06,CDF,1418,,1418,G,VEHICLE,0,0,0,0
MMU-5956,100%,MERCED,BILLY,05/26/06,05/26/06,CDF,753,,753,W,EQUIP. USE,0,0,0,0
RRU-44512,100%,RIVERSIDE,HIGHWAY,05/27/06,05/28/06,CDF,,400,400,na,HUMAN,0,0,0,0
TUU-5529,100%,TULARE,ALPAUGH,05/27/06,05/27/206,LOCAL,,1700,1700,G,EQUIP. USE,0,0,0,0
RRU-45343,100%,RIVERSIDE,SKINNER,05/30/06,05/30/06,CDF,317,,317,GB,HUMAN,0,0,0,0
RRU-46680,100%,RIVERSIDE,CORT (COURT),06/03/06,06/04/06,CDF,362,,362,B,EQUIP. USE,0,0,0,0
FKU-4598,100%,FRESNO,RIFLE RANGE (AUBERR,06/04/06,06/04/06,CDF,371,,371,G,AMMUNITION,0,0,0,0
FKU-4708,100%,FRESNO,FKU-4708,06/07/06,06/07/06,LOCAL,,300,300,G,VEHICLE,0,0,0,0
BDU-5805,100%,INYO,ABERDEEN,06/07/06,06/07/06,CDF,357,,357,B,LIGHTNING,0,0,0,0
BDU-5867,100%,SAN BERNARDINO,ARRASTRE,06/09/06,06/10/06,USFS,,361,361,T,LIGHTNING,0,0,0,0
SCU-3533,100%,SAN JOAQUIN,PETZ,06/10/06,06/10/06,CDF,335,,335,G,VEHICLE,0,0,0,0
TUU-6585,100%,TULARE,STOKES,06/17/06,06/17/06,CDF,320,,320,G,ARSON,0,0,0,0
SLU-4715  185,100%,SANTA BARBARA,PERKINS,06/19/06,06/26/06,USFS,,14988,14988,B,HUMAN,7,0,0,0
CDF-262,100%,"ENSENADA, B.C.",BAJA CALIFORNIA-MEXI,06/20/06,06/25/06,MEXICO,,4000,4000,B,UI,0,0,0,0
TUU-6967,100%,TULARE,W,06/24/06,06/24/06,CDF,800,,800,G,ARSON,1,0,0,0
BTU-7042,100%,PLUMAS,BOULDER COMPLEX,06/25/26,07/05/06,USFS,,3500,3500,T,LIGHTNING,2,0,0,0
LMU-2330,100%,LASSEN,OBSERVATION COMPLE,06/25/06,06/30/06,BLM,,4300,4300,GB,LIGHTNING,0,0,0,0
BDU-6570,100%,INYO,GOODALE,06/26/06,06/29/06,CDF,3750,,3750,B,LIGHTNING,0,0,0,0
LMU-2803,100%,MODOC,MDF-276 MILLER COMPL,06/26/06,07/03/06,USFS,,300,300,TG,LIGHTNING,0,0,0,0
LMU-2372,100%,LASSEN,CHENEY,06/26/06,06/27/06,CDF,565,35,600,WAGP,LIGHTNING,1,0,0,0
TGU-4055,100%,TEHAMA,BOLLY),06/27/06,06/27/06,USFS,,1247,1247,T,LIGHTNING,0,0,0,0
LMU-2394,100%,MODOC,LGT. #17,06/26/06,06/27/06,CDF,10,490,500,TGB,LIGHTNING,0,0,0,0
LMU-2420,100%,LASSEN,LGT #22 (3-9),06/26/06,06/27/06,CDF,504,,504,G,LIGHTNING,0,0,0,0
"",CON-,,,DATE,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES,,,,
INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,TYPE,CAUSE,DEST.,DAM.,FIRE,CIVIL
LMU-2478,100%,MODOC,3-23,06/27/06,06/27/06,CDF,450,,450,T,LIGHTNING,0,0,0,0
SCU-4033,100%,STANISLAUS,DEL PUERTO,06/30/06,07/03/06,CDF,2590,,2590,G,DEBRIS,0,0,0,0
SCU-4078,100%,SAN JOAQUIN,CORRAL,07/02/06,07/02/06,CDF,460,,460,G,ARSON,0,0,0,0
TCU-5732,100%,TUOLUMNE,PEDRO,07/03/06,07/05/06,CDF,2000,,2000,GB,MISC.,0,0,0,0
BDU-7074,100%,SAN BERNARDINO,PICO,07/06/06,07/07/06,LOCAL,,420,420,GB,UI,0,0,0,0
BDU-10778,100%,SAN BERNARDINO C,KINGSTON,07/06/06,07/12/06,CDF,488,,488,GB,LIGHTNING,0,0,0,0
RRU-57746,100%,RIVERSIDE,PUSHWALLA COMPLEX,07/07/06,07/10/06,USFS,,2000,2000,G,LIGHTNING,0,0,0,0
LMU-2802,100%,MODOC,MDF-242 (HAPPY COMP,07/09/06,07/09/06,USFS,,1780,1780,TG,LIGHTNING,0,0,0,0
TUU-7901,100%,KERN,ARCO,07/09/06,07/12/06,CDF,698,,698,GB,UI,0,0,0,0
SCU-4303,100%,STANISLAUS,CANYON,07/09/06,07/17/06,CDF,34000,,34000,GWB,EQUIP. USE,11,1,0,0
BDU-7229,100%,SAN BERNARDINO,SAWTOOTH COMPLEX,07/09/06,07/20/06,CDF,62000,,62000,G,LIGHTNING,273,14,0,1
RRU-59480,100%,RIVERSIDE,MILLARD FIRE ASSIST,07/09/06,07/09/06,USFS,,24210,24210,,LIGHTNING,0,0,0,0
BBD-2110,100%,SAN LUIS OBISPO,BECK,07/11/06,07/12/06,BLM,,1500,1500,GB,UI,0,0,0,0
