INCIDENT #,COUNTY / UNIT,FIRE NAME,DATE,ORIGIN,ACRES BURNED,VEG. TYPE,CAUSE,STRUCTURES,FATALITIES,,,
"",,,START,CONT.,DPA,TOTAL,DEST.,DAM.,FIRE,CIVIL,,
CAL FIRE INCIDENTS,,,,,,,,,,,,
MMU-7830,MARIPOSA,RIVER,5/18/12,5/22/12,CALFIRE,3 20,G,UNDETERMINED,,,,
MVU-005400,SAN DIEGO,BANNER 4,5/24/12,5/29/12,CAL FIRE,"5 ,320",G,UNDETERMINED,,,,
MMU-008599,MERCED,BILLY,5/31/12,5/31/12,CAL FIRE,4 34,G,ELECTRICAL,,,,
LAC-134232,LOS ANGELES,5 MILE,6/8/12,6/9/12,CAL FIRE,5 25,GB,EQUIPMENT,,,,
MMU-009308,MARIPOSA,GAINES,6/12/12,6/14/12,CAL FIRE,"1 ,700",G,ELECTRICAL,,,,
FKU-7091,FRESNO,LASSEN,6/12/12,6/13/12,CALFIRE,418,G,UNDETERMINED,,,,
RRU-059216,RIVERSIDE,HIGHLAND,6/16/12,6/18/12,CAL FIRE,"2 ,171",BG,UNDETERMINED,,,,
RRU-059775,RIVERSIDE,VIEW,6/17/12,6/18/12,CAL FIRE,3 75,B,ELECTRICAL,,,,
MVU-6329,SAN DIEGO,OLD 2,6/17/12,6/20/12,CAL FIRE,9 95,B,UNDETERMINED,2,,,
SHU-005135,SHASTA,DALE,7/5/12,7/7/12,CALFIRE,"1,083",GB,UNDETERMINED,2,5,,
BDU-7678,INYO,FISH,7/7/12,7/9/12,CAL FIRE,"1,103",B,UNDETERMINED,,,,
LNU-5038,COLUSA,SITES,7/8/12,7/9/12,CAL FIRE,3 65,G,UNDETERMINED,,,,
LNU-5039,COLUSA,GRAPEVINE,7/8/12,7/12/12,CAL FIRE,"1 ,870",B,UNDETERMINED,,,,
LNU-5056,COLUSA,RAIL,7/9/12,7/12/12,CAL FIRE,"1,870",B,UNDETERMINED,,,,
BEU-3109,MONTEREY,TURKEY,7/9/12,7/10/12,CAL FIRE,"2 ,529",TG,EQUIPMENT,,,,
TCU-6227,TUOLUMNE,SEVEN,7/10/12,7/11/12,CAL FIRE,8 40,B,UNDETERMINED,1,,,
NEU-15060,PLACER,ROBBERS,7/11/12,7/21/12,CALFIRE,"2 ,650",BT,ARSON,8,,,
SLU-5716,SAN LUIS OBISPO,CALF,7/16/12,7/18/12,CALFIRE,6 40,B,EQUIPMENT,,,,
KRN-22306,KERN,SAND,7/17/12,7/19/12,CALFIRE,"1 ,428",GB,EQUIPMENT,1,,,
LNU-5495,YOLO,FOREST,7/21/12,7/24/12,CALFIRE,5 20,G,EQUIPMENT,,,,
TGU-5964,TEHAMA,PASKENTA,7/25/12,7/25/12,CALFIRE,3 00,GB,VEHICLE,,,,
KRN-23612,KERN,GRAPE,7/28/12,7/29/12,CALFIRE,3 70,G,UNDETERMINED,,,,
MEU-5115,MENDOCINO,NORTH,7/28/12,7/30/12,CALFIRE,3 83,B,UNDETERMINED,,,,
RRU-7075254,RIVERSIDE,VOLCANO,8/1/12,8/5/12,CALFIRE,3 56,GB,EQUIPMENT,1,,,
RRU-76402,RIVERSIDE,RUSHMORE,8/4/12,8/4/12,CALFIRE,"1 ,000",G,UNDETERMINED,,,,
MVU-8547,SAN DIEGO,CHIHUAHUA 2,8/9/12,8/12/12,CALFIRE,"2 ,006",B,LIGHTNING,,,,
LNU-6335,LAKE/COLUSA,WYE,8/12/12,8/18/12,CALFIRE,"2 ,934",B,UNDETERMINED,3,2,,
LNU-6334,LAKE/ COLUSA,WALKER,8/12/12,8/14/12,CALFIRE,"5 ,000",G,UNDETERMINED,,,,
MVU-8747,SAN DIEGO,VALLECITO LIGHTNING COMPLEX,8/13/12,8/20/12,CALFIRE,"2 2,829",B,LIGHTNING,,,,
BTU-8116,TEHAMA,MILL,8/13/12,8/23/12,CALFIRE,"1 ,641",T,ARSON,,,,
RRU-080142,RIVERSIDE,BUCK,8/14/12,8/18/12,CALFIRE,"2 ,681",GB,LIGHTNING,4,,,
TGU-6696,TEHAMA/SHASTA,PONDEROSA,8/18/12,9/2/12,CALFIRE,"2 7,676",T,LIGHTNING,133,6,,
RRU-82309,RIVERSIDE,VISTA,8/20/12,8/21/12,CALFIRE,500,G,EQUIPMENT,,,,
LNU-7072,COLUSA,SIXTEEN COMPLEX,9/4/12,9/11/12,CALFIRE,"1 9,000",TGB,UNDETERMINED,,,,
MEU-6376,LAKE,SCOTTS,9/7/12,9/14/12,CALFIRE,"4 ,517",B,CAMPFIRE,,,,
MVU-010383,SAN DIEGO,SHOCKEY,9/23/12,9/27/12,CAL FIRE,"2 ,555",B,UNDETERMINED,39,2,,
RRU-96791,RIVERSIDE,RANGE,9/29/12,10/1/12,CAL FIRE,351,GB,MISC,3,,,
LNU-008431,LAKE,TWENTY NINE,10/18/12,10/21/12,CAL FIRE,300,BT,ELECTRICAL,8,,,
TOTAL,,,,,,"121,555",,,205,15,0,0
OTHER AGENCY INCIDENTS,,,,,,,,,,,,
