"",,,DATE,ORIGIN,ACRES BURNED,VEG. TYPE,,STRUCTURES,FATALITIES,,,,,
INCIDENT #,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CAL FIRE,OTHER,TOTAL,CAUSE,DEST.,DAM.,FIRE,CIVIL,
CAL FIRE INCIDENTS,,,,,,,,,,,,,,
BEU-2369,MONTEREY,METZ,05/22/16,05/25/16,CAL FIRE,"3,876",,"3,876",BG,DEBRIS BURNING,,,,
MVU-14498,SAN DIEGO,BORDER 3,06/19/16,07/01/16,CAL FIRE,"4,185","3,424","7,609",BG,UNDETERMINED,16,3,,2
MMU-12363,MERCED,DINOSAUR,06/25/16,06/26/16,CAL FIRE,"1,246",,"1,246",G,VEHICLE,,,,
AEU-17670,SACRAMENTO,RANCHO,06/28/16,06/30/16,CAL FIRE,372,,372,G,VEHICLE,,,,
NEU-15200,PLACER,TRAILHEAD,06/28/16,08/14/16,CAL FIRE,"2,016","3,629","5,645",BT,UNDETERMINED,,,,
TGU-5731,TEHAMA,COLYEAR,06/30/16,07/06/16,CAL FIRE,464,,464,BG,ELECTRICAL POWER,,,,
FKU-9100,FRESNO,CURRY,07/01/16,07/04/16,CAL FIRE,"2,944",,"2,944",BG,UNDETERMINED,,,,
TCU-6914,CALAVERAS,APPALOOSA,07/02/16,07/15/16,CAL FIRE,310,,310,BGT,ELECTRICAL POWER,1,,,
SHU-6739,SHASTA,FIDDLER,07/08/16,07/09/16,CAL FIRE,303,,303,BGT,ARSON,1,1,,
TCU-7341,CALAVERAS,PACHECO,07/12/16,07/18/16,CAL FIRE,341,,341,BGT,EQUIPMENT,2,,,
BEU-3422,MONTEREY,SOBERANES,07/22/16,08/28/16,CAL FIRE,"37,194","66,048","103,242",BGT,CAMPFIRE,68,5,1,
FKU-10852,FRESNO,GOOSE,07/30/16,08/09/16,CAL FIRE,"2,241",,"2,241",BG,ARSON,9,1,,
BTU-11608,BUTTE,99,08/02/16,08/08/16,CAL FIRE,520,,520,G,PLAYING WITH FIRE,,,,
LNU-7135,YOLO,COLD,08/02/16,08/12/16,CAL FIRE,"5,731",,"5,731",BG,UNDETERMINED,2,,,
FKU-11358,FRESNO,MINERAL,08/08/16,08/19/16,CAL FIRE,"7,050",,"7,050",BG,ARSON,2,,,
SLU-8948,SAN LUIS OBISPO,CHIMNEY,08/13/16,09/07/16,CAL FIRE,"44,439","1,796","46,235",BT,VEHICLE,70,8,,
LNU-7582,LAKE,CLAYTON,08/13/16,09/03/16,CAL FIRE,"3,929",,"3,929",BG,ARSON,300,28,,
