"INCIDENT #","CONTAINED","COUNTY","FIRE NAME","START","CONT.","ORIGIN","ACRES BURNED","OTHER","TOTAL","VEG. TYPE","CAUSE","STRUCTURES DEST.","STRUCTURES DAM.","FATALITIES FIRE","FATALITIES CIVIL"
"VNC","0%","VENTURA","THOMAS","12/04/17",,"CAL FIRE","45,000",,"45,000","B, G","UNDER",0,0,0,0
"YNP-84","85%","MARIPOSA","EMPIRE","08/01/17",,"NPS",,"6,370","6,370","B, T","LIGHTNING",0,0,0,0
"YNP-108","85%","MARIPOSA","SOUTH FORK","08/13/17",,"NPS",,"7,000","7,000","B, T","UNDER INVESTIGATION",0,0,0,0
"LAC-362189","0%","LOS ANGELES","CREEK","12/05/17",,"LOCAL",,"4,000","4,000","B","UNDER INVESTIGATION",0,0,0,0
"FKU-5281","100%","FRESNO","JAYNE","04/20/17","04/21/17","CAL FIRE","4,056",477,"4,533","G","EQUIPMENT USE",0,0,0,0
"FKU-5669","100%","FRESNO","EL DORADO","04/28/17","04/28/17","CAL FIRE",,750,750,"G","UNDETERMINED",0,0,0,0
"RRU-53193","100%","RIVERSIDE","OPERA","04/30/17","05/02/17","CAL FIRE","1,350",,"1,350","G","UNDETERMINED",0,0,0,0
"MMU-9464","100%","MERCED","WRIGHT","05/12/17","05/13/17","CAL FIRE","1,680",,"1,680","G","UNDETERMINED",0,0,0,0
"FKU-6727","100%","FRESNO","ELM 2","05/18/17","05/21/17","CAL FIRE","10,000",,"10,000","B, G","ELECTRICAL POWER",0,0,0,0
"MVU-12098","100%","SAN DIEGO","GATE","05/20/17","05/22/17","CAL FIRE","2,056",,"2,056","B, G","UNDETERMINED",0,0,0,0
"TUU-286","100%","TULARE","DINELY","06/07/17","06/10/17","CAL FIRE",339,,339,"B, G","EQUIPMENT USE",0,0,0,0
"MMU-11650","100%","MADERA","OAKWOOD","06/10/17","06/13/17","CAL FIRE","1,333",84,"1,417","B, G","SHOOTING",0,0,0,0
"FKU-8044","100%","FRESNO","MONTEREY","06/11/17","06/11/17","CAL FIRE",,450,450,"G","SHOOTING",0,0,0,0
"FKU-8759","100%","FRESNO","CREEK","06/23/17","06/27/17","CAL FIRE",337,20,357,"B, G","DEBRIS BURNING",4,0,0,0
"RRU-78840","100%","RIVERSIDE","MANZANITA","06/26/17","06/30/17","CAL FIRE","6,309",,"6,309","B, G","VEHICLE",0,0,0,0
"SLU-7101","100%","SAN LUIS OBISPO","HILL","06/26/17","06/28/17","CAL FIRE","1,626",,"1,626","B, G","VEHICLE",4,0,0,0
"MMU-13022","100%","MARIPOSA","BEN","06/28/17","07/06/17","CAL FIRE",558,,558,"B, G","VEHICLE",0,0,0,0
"FKU-9289","100%","FRESNO","DERRICK","07/02/17","07/05/17","CAL FIRE","1,562",,"1,562","B, G","UNDETERMINED",0,0,0,0
"SKU-4779","100%","SISKIYOU","FAY","07/05/17","07/31/17","CAL FIRE",496,,496,"B, G, T","MISCELLANEOUS",2,0,0,0
"SLU-7624","100%","SAN LUIS OBISPO","ALAMO","07/06/17","07/22/17","CAL FIRE","28,687",,"28,687","B, G","UNDER INVESTIGATION",14,1,0,0
"BTU-10975","100%","BUTTE","WALL","07/07/17","08/03/17","CAL FIRE","6,033",,"6,033","B, G","ELECTRICAL POWER",91,10,0,0
"BEU-3551","100%","MONTEREY","PARKFIELD","07/08/17","07/08/17","CAL FIRE","1,816",,"1,816","B, G","ELECTRICAL POWER",1,0,0,0
"LNU-6262","100%","YOLO","WINTER","07/09/17","07/12/17","CAL FIRE","2,269",,"2,269","B, T","UNDER INVESTIGATION",0,0,0,0
"SLU-7792","100%","SAN LUIS OBISPO","STONE","07/09/17","07/11/17","CAL FIRE",340,,340,"B, G","EQUIPMENT USE",7,0,0,0
"FKU-9755","100%","KINGS","GARZA","07/09/17","07/25/17","CAL FIRE","70,000",,"70,000","B, G","EQUIPMENT USE",1,0,0,0
"MVU-16909","100%","SAN DIEGO","JENNINGS 2","07/11/17","07/14/17","CAL FIRE",400,,400,"B, G","VEHICLE",0,0,0,0
"BDU-9854","100%","SAN BERNARDINO","BRIDGE 2","07/14/17","07/18/17","CAL FIRE",410,50,460,"B, G","UNDETERMINED",0,0,0,0
"MMU-14474","100%","MARIPOSA","DETWILER","07/16/17","08/31/17","CAL FIRE","50,000","50,000","100,000","B, G","SHOOTING",131,21,0,0
"FKU-10248","100%","FRESNO","PARK","07/17/17","07/30/17","CAL FIRE","1,649",,"1,649","B, G","EQUIPMENT USE",0,0,0,0
"TUU-420","100%","TULARE","ELEPHANT 2","07/20/17","07/21/17","CAL FIRE",416,,416,"G","ARSON",0,0,0,0
"AEU-21652","100%","SACRAMENTO","LATROBE","07/26/17","07/28/17","CAL FIRE","1,268",,"1,268","G","DEBRIS BURNING",0,0,0,0
"TCU-9024","100%","TOULUMNE","JACKSONVILLE","07/29/17","08/04/17","CAL FIRE",675,,675,"B, G","UNDETERMINED",1,0,0,0
"TUU-441","100%","TULARE","ROADRUNNER","07/30/17","07/31/17","CAL FIRE","2,289",,"2,289","G","ARSON",0,0,0,0
"BDU-10918","100%","SAN BERNARDINO","BRYANT 2","08/03/17","08/14/17","CAL FIRE",325,,325,"B, G","UNDETERMINED",1,0,0,0
