REGION &,,DATE,,ORIGIN ACRES BURNED,VEG,CAUSE.,,
RANGER UNIT,FIRE NAME,START CONT,.,D .P .A . CDF OTHER TOTAL TYPE,,. (general),,HOMES CDF DEATHS
REGION I,,,,,,,,
Humboldt-Del Norte,Blue Creek,06/08-06/10,,CDF 363 0,363 T,,Equip . Use,
Humboldt-Del Norte,Sylvandale,08/10-08/11,,CDF 1616 . 0 1616,TWG,,Equip . Use,
Lake-Napa,Rockwell Gap,09/11-09/12,,CDF 2500 0 2500,BG,,Arson,
Lake-Napa,Seigler,09/17-09/18,,CDF 1029 0 1029,TWB,,Arson.,
Mendocino,Hanes #2,09/12-09/14,,CDF 370 0,370 TWBG,,Debris,
Mendocino,Woodruff,09/16-09/18,,CDF 520 0,520 TBG,,Arson,1
"",6 fires,,,6398,,,,
REGION II,,,,,,,,
Butte,Bidwell Park,07/25-07/26,,CITY 1220 80 1300,WB,,Arson,
Plumas NF,Will,09/18-09/21,,USFS 720 2460 3180,T,,N/A,
Modoc NF,Happy,07/19-07/22,,USFS 0 2473 2473,T,,Lightning,
Nevada-Yuba-Placer,Roadside #70-77,07-10-07/10,,CDF 1700 0 1700,WG,,Arson,
Shasta-Trinity,Rim,05/15-05/16,,CDF 310 0,310 T,,Debris,
Tehama-Glenn,Little Antelope,06/07-06/07,,CDF 2550 0 2550,BG,,Misc.,
Tehama-Glenn,Squaw Ridge,07/13-07/14,,CDF 400 0 9400,GAP,,Arson,
"",7 fires,,,15900,,,,
REGION IV,,,,,,,,
Amador-El Dorado,Kiefer,06/13-06/13,,CDF 1500 0 1500,G,,Arson,
Amador-El Dorado,Chili Bar,09/16-09/21,,CDF 6884 140 7024,TWBGAP,,Campfire,7
Fresno-Kings,Ciervo,06/07-06/08,,CDF 57540 0 57540,G,,Equip . Use,
Fresno-Kings,Valerie,06/13-06/15,,CDF 5250 0 5250,WBG,,Smoking,1
Fresno-Kings,State of Calif .,07/01-07/01,,CDF 1600 280 1880,G,,Smoking,
REGION &,,,DATE ORIGIN ACRES BURNED,VEG .,CAUSE,,,
RANGER UNIT,FIRE NAME,,START CONT CDF DEATHS. D .P .A CDF OTHER TOTAL,TYPE,(general),,HOMES,
REGION IV (cont .),,,,,,,,
Tulare,Taylor,,06/20-06/20 CDF 2100 0 2100,G,Equip . Use,,,
Tulare,Woodlake Mtn,.,07/09-07/09 CDF 1900 0 1900,G,Equip . Use,,,
Sequoia NF,Cow,,08/07-o8/o9 USFS 0 1510 1510,G,Arson,,,
Tuolumne-Calaveras,Brunswick,,06/08-06/08 CDF 1295 0 1295,WBG,Misc.,,,
Tuolumne-Calaveras,Fowler Peak,,06/11-06/13 CDF 4123 45 4168,WB,Equip . Use,,,
Tuolumne-Calaveras,Golden Gate,,06/12-06/13 CDF 1310 0 1310,BG,Smoking,,1,
Tuolumne-Calaveras,Peoria Mtn Equip . Use.,,06/16-o6/16 CDF 450 0 450,BG,,,,
Tuolumne-Calaveras,Parker #2,,09/14-o9/16 CDF 2075 0 2075,WB,Misc.,,,
Tuolumne-Calaveras,Ltng Lightning. Strike,,"#2 09/24-09/27 CDF 425 0 425",B,,,,
"",14 fires,,86452,,,,,
REGION V,,,,,,,,
San Benito-Monterey,Kaupp,,05/18-05/19 CDF 1788 0 1788,BG,Smoking,,,
San Benito-Monterey,Llanda,,05/30-05/31 CDF 587 0 587,WBG,Equip . Use,,,
San Benito-Monterey,Maggini,,07/03-07/03 CDF 58o 0 580,WBG,Equip . Use,,,
San Benito-Monterey,P .G . & E . #10,,07/16-07/17 CDF 2184 0 2184,WBAP,Equip . Use,,,
San Benito-Monterey,Thomason #2,,07/18-07/18 CDF 1580 0 1580,WGAP,Equip . Use,,1,
San Benito-Monterey,Morazolli,,07/18-07/18 CDF 469 0 469,B,Equip . Use,,,
San Benito-Monterey,Hernandez,,08/03-08/03 CDF 765 0 765,WB,Equip . Use,,,
San Benito-Monterey,Oil Well Canyon,,10/29-10/29 CDF 584 0 . 584,BG,Misc.,,,
San Luis Obispo,Elkhorn Rd .,,06/05-06/05 CDF 1578 0 1578,G,Misc.,,,
San Luis Obispo,Crocker,,07/28-07/28 CDF 2262 0 2262,G,Arson,,,
San Luis Obispo,Silver Spur,,08/07-08/07 CDF 300 0 300,B,Arson,,,
San Luis Obispo,Spanish Ranch,,08/15-08/16 CDF 930 0 930,B,Equip . Use,,,4
San Luis Obispo,Parkhill,,08/27-08/29 CDF 1985 240 2225,BG,Equip . Use,,,
REGION &,,,DATE,ORIGIN,ACRES BURNED,VEG .,CAUSE,
RANGER UNIT,FIRE NAME,,START CONT .,D .P .A .,CDF OTHER TOTAL,TYPE,general),HOMES CDF DEATHS
REGION V (cont .),,,,,,,,
San Luis Obispo,River Road,,09/09-09/10,CDF,625 125 750,BG,Arson,
San Luis Obispo,Tar Springs #2,,09/15-09/17,CDF,1500 0 1500,B,Misc.,
Santa Clara,Lanxdon,,05/14-05/14,CDF,2872 0 2872,BG,Equip . Use,
"",16 fires,,,,20589,,,
REGION VI,,,,,,,,
Orange,Ortega #2,,09/15-09/16,CDF,750 0 750,B,Equip . Use,
Orange,Laguna,,12/11-12/12,CDF,4o0 150 550,B,Misc.,
Riverside,Truelson,,05/12-05/13,CDF,946 0 946,BG,Equip . Use,
Riverside,Morongo #14,,05/31-05/31,CDF,1279 0 1279,B,Arson,
Riverside,--Morongo #21,,06/03-o6/o9,CDF,3205 245 3450,B,Lightning,
Riverside,Joshua Tree,,06/04-06/04,NPS,0 600 600,BG,Lightning,
Riverside,Whitewater,,06/09-06/10,CDF,1664 0 1664,B,Misc.,
Riverside,Double Butte,"#2",06/13-06/13,CDF,850 0 850,B,Misc.,
Riverside,Brown,,06/26-06/26,CDF,718 . 0 718,B,Misc.,
Riverside,North,,06/26-06/28,CDF,3200 0 3200,B,Arson,7
Riverside,Bautista,,06/26-06/28,CDF,600 0 600,B,Arson,
Riverside,Reche,,06/28-06/29,CDF,300 0 300,B,Arson,
