REGION &,,DATE,,ORIGIN,ACRES BURNED VEG .,CAUSE,,,CDF
RANGER UNIT,FIRE NAME,START CONT .,,D . P . A .,CDF OTHER TOTAL TYPE,(general),,HOMES,DEATHS
REGION I,,,,,,,,,
Humboldt-Del Norte,Mann,08/02-08/02,,CDF,95 0 Smoking.0 950 TBG,,,,
Humboldt-Del Norte,Jaunarena,10/02-10/03,,CDF,347 0 347 TBG,Debris,,,
Humboldt-Del Norte,Capetown Series,10/08-10/08,,CDF,505 0 505 TBG,Arson,,,
Lake-Napa,Highland Springs,10/07-10/08,,CDF,650 0 650 BG,Equip . Use,,,
Mendocino,Whipple,10/07-10/07,,CDF,450 0 450 TWBG,Play W/Fire,,,
Sonoma,Gehricke,10/03-10/04,,CDF,644 0 644 TWBG,Smoking,,,
REGION II,,,,,,,,,
Nevada-Yuba-Placer,Dog Bar,10/07-10/07,,CDF,360 0 360 TWB,Misc.,,,
Shasta-Trinity,Towerhouse,08/13-08/15,,CDF,2349 0 2349 B,Arson,,3,
Siskiyou,Andesite,04/13-04/14,,CDF,590 0 590 TB,Debris,,,
Siskiyou,Lightning Series,07/28-07/30,,CDF,540 0 540 TBG,Lightning,,,
Tehama-Glenn,Big Antelope,06/27-06/28,,CDF,600 0 600 B,Arson,,,
Tehama-Glenn,Rockwall,07/28-07/28,,CDF,1670 0 1670 W,Lightning,,,
Tehama-Glenn,Campo Airstrip,07/28-07/28,,CDF,300 0 300 B,Lightning,,,
REGION IV,,,,,,,,,
Amador-El Dorado,Michigan Bar,07/29-07/30,,CDF,755 0 755 BG,Misc.,,,
REGION V,,,,,,,,,
San Benito-Monterey,Buckridge,08/08-08/09,,CDF,560 40 600 WBG,Equip . Use,,,
San Benito-Monterey,Reasons,08/21-08/21,,CDF,585 0 585 WBAP,Equip . Use,,,
San Benito-Monterey,Shirtail,09/23-09/24,,CDF,2060 0 2060 BG,Arson,,,
CREGION & DFDATE ORIGIN,ACRES BURNED,VEG .,CAUSE .,,,,
RANGER UNIT FIRE NAME START CONT . D .P .A .,CDF OTHER TOTAL,TYPE,(general),,,HOMES,DEATHS
REGION V (cont .),,,,,,,
