"unit","name","start","end","agency","cdf","other","totalacres","vegType","cause",,
"Lake-Na—pa","Hidden Valley","07/09","07/11","CDF",1250,,,,,,
,,,,,-0,1250,,"WB","Misc.",,
"Lake-Napa","Magic","07/10","07/11","CDF",357,,,,,,
,,,,,-0,357,,"WBG","Equip .","Use",
"Lake-Napa","Miller","08/31","09/02","CDF",2080,-0,2080,"WG","Arson",,
"Lake-Napa","Bald Mt .","10/08","10/09","CDF",5280,-0,5280,"WG","Elec .","Power",
"Mendocino","Iron Peak","07/09","07/10","CDF",529,-0,529,"TW","Railroad",,
"REGION II",,,,,,,,,,,
"Butte","Rock Creek","06/11","06/12","CDF",1650,,,,,,
,,,,,-0,1650,,"B","Smkg.",,
"Lassen-Modoc","Murrer","07/0807/10","CDF",,1055,,,,,,
,,,,,-0,1055,,"T","Smkg.",,
"Lassen-Modoc","Bass","08/07","08/07","CDF",2445,-0,2445,"B","Equip . Use",,
"Shasta-Trinity","USFS #20","07/18","07/21","USFS",-0,1620,1620,"CONIFERS","Cmpr.",,
"Shasta-Trinity","USFS #29","07/26","08/04","USFS",,,,,,,
,,,,,-0,3900,3900,"TB","Ltng.",,
"Shasta-Trinity","Bluenose","07/27","07/29","CDF",312,-0,312,"T","Ltng .,",,
"Shasta-Trinity","USFS #33","07/28","08/01","USFS",-0,1202,1202,"TB","Ltng.",,
"REGION IV",,,,,,,,,,,
"mdaoor-El Dorado","Amador","07/09","07/09","CDF",652,,,,,,
,,,,,-0,652,,"BG","Equip .","Use",
"Amador-E1 Dorado Fresno-Icings","8 Mile Panoche","08/09","08/09","06/09",462,"5580-",462,"W","Misc.",,13
,,,,,-0,5580,,"G",,,
"Fresno-Kings","Backbone","06/10","06/10","CDF",425,-0,425,"BG","Equip . Arsoia","Use",
"Fresno-Kings","Los Gatos Series","07/06","07/13","CDF",27562,,,,,,
,,,,,-0,27562,,"WBG","Ltng.",,
"Fresno-Kings Madera-Mariposa","Sycamore Stan . #7","07/15","07/17","08/02",415,-0,1019,"WBG BG","Arson Misc.",,1
"Madera-Mariposa","Falls #2","08/12","08/12","CDF",3000,,,,,,
,,,,,-0,3000,,"G","Arson",,
"Tulare","USFS #5","06/28","06/30","USFS",,,,,,,
,,,,,-0,8100,8100,"BG","Equip .","Use",
"Tuolumne-Calaveras","Grizzly","07/03","07/04","CDF",530,-0,530,"WBG","Arson-",,
"Tuolumne-Calaveras","Gann","07/04","07/04","CDF",915,-0,915,"WBG","Equip .","Use",
"REGION V",,,,,,,,,,,
"Benito-Monterey","Bumb","05/26","05/26","CDF",1100,-0,1100,"WG","Equip . Use",,
"San Benito-Monterey","Piney Creek","06/10","06/12","CDF",1250,-0,1250,"WB","Equip . Use",,
"San Benito-Monterey","Hunter Liggett #2 06/12-06/13","USFS",,,,,,,,,
,,,,,-0,3200,3200,"BG",,,
"Misc.San Ben ito-Monterey","Pine","06/17","06/19","CDF",540,-0,540,"BG","Equip .","Use",
"San Benito-Monterey","Lowes","07/02","07/04","CDF",2670,-0,2670,,"WBGAP","Equip . Use",
"San Benito-Monterey","Seco","07/02","07/05","CDF",875,1070,1945,,"WBG","Arson",3
"San Benito-Monterey","Lightning Series 07/06-07/09","CDF",,,953.4,-0,9534,,"WBG","Ltng.",
"San Benito-Monterey","Gorda-Rat","07/06","07/19","USFS",-0,55889,55889,,"BG","Ltng .",8
"San Benito-Monterey","Cherry","07/08","07/15","CDF",31041,9190,40231,,"WBG","Arson",17
"San Luis Obispo","Las Pilitas","07/01","07/10","CDF",49375,25265,74640,,"WBG","Equip. Use",41
"San Luis Obispo","Hwy 58 #2","07/22","07/22","CDF",700,-0,700,,"BG","Debris",
"Santa Clara","Lexington","07/09","07/13","CDF",13800,-0,13800,,"TBG","Arson",2
"Santa Clara","Finley","07/08","07/10","CDF",2250,-0,2250,,",WBG","Arson",
"Owens a ley","Onion","07/06","07/09","BLM",300,9500,9800,,"B","Ltng.",
"Owens Valley","Owens","08/08","08/10","USFS",160,3580,3740,,"BG","N/A",
"Riverside","Cabazon","06/27","07/07","CDF",3111,17269,"_",,"BG","Misc.",
"Riverside","Gavalin","07/02","07/02","CDF",473,-0,473,,"B","Equip . Use",
"Riverside","Orco Assist","07/02","07/03","CC",750,-0,750,,"B","Misc.",
"Riverside","Skinner","08/08","08/10","CDF",978,-0,978,,"G","Equip . Use",
"Riverside","Shell","08/11","08/13","CC",,,,,,,
,,,,,-0,1440,1440,,"BG","N/A",
"Riverside","Pala","09/14","09/14","CDF",325,-0,325,,"B","Arson",3
"Ventura County","South Mountain","06/30","07/03","CC",,,,,,,
,,,,,-0,600,600,"_","B","N/A",
"Ventura & Los Padres","Wheeler","07/01","07/14","CC",,,,,,,
,,,,,-0,120000,120000,,"B","Arson",
"San Bernardino","Parsons","07/03","07/04","CDF",1170,-0,1170,,"B","Debris",26
"Ventura County","Black Mountain","07/03","07/05","CC",,,,,,,
,,,,,-0,1200,1200,,"N/A","N/A",
"San Bernardino","Archibald","10/05","10/07","CDF",500,-0,500,,"B","Equip . Use",
"Ventura County","Pioneer","10/14","10/16","CC",-0,1200,1200,,"B","Arson",
"Ventura County","Ferndale","10/14","10/20","CC",-0,33890,33890,,"B","N/A",
"Los Angeles County","Decker","10/14","10/17","CC",-0,11000,11000,,"B","Arson",
"Ventura County","Hummingbird","10/14","10/16","CC",-0,1600,1600,,"B","N/A",
"Angeles NF","Gleason","10/14","10/16","USFS",-0,,,,,,
"San Diego","Miller","06/30","07/01","CDF",1200,8000,-0,,"B B","Cmpr.",
"3San D iego","Gop her",7,"/01","07/03",1200,-0,1200,,"B","Debris Misc",
"San Diego","Roblar","07/01","07/05","MILITARY",1225,7200,8425,,"BGAP",". Weapons",1
"2San D iego","Deer","07/02","07/02","CDF",380,140,,,,,
"ArsonSan D Misc.San Diego iego","Sycamore Assist #38","07/27","07/27","10/05",520,1060,-0,,"B B",,8
,,,,,-0,1200,1200,,"B","Misc.",
