"",,DATE ORIGIN,,ACRES BURNED,VEG .,CAUSE
RANGER UNIT,FIRE NAME,START CONT . D'P .A.,,CDF OTHER TOTAL,TYPE,(general) HOMES
REGION I,,,,,,
Six Rivers NF,Knopki,07/15-N/A USFS,,- 354 354,N/A,N/A
Lake-Napa,Sites,11/10-11/10 CDF,,1600 - 1600,WG,Equip . Use
REGION II,,,,,,
i evaaca- uba-Placer,USFS Assist #10,11/03-11/04 USFS,,- 400 - 400,T,N/A
Shasta-Trinity,Tamarack,08/27-08/27 CDF,,450 - 450,T,Smkg.
REGION III,,,,,,
Riverside,Colorado #2,04/13-04/13 BIA,,1800 - 1800,B,Misc.
Riverside,Galvin,05/17-05/18 CDF,,602 - 602,B,Cmpr.
Riverside,Wilmont,05/29-05/29 CDF,,1425 - 1425,B,Arson
Riverside,Powerline,04/26-04/27 LOCAL,,- 400 400,B,Equip . Use
San Bernardino,Scout,05/17-05/17 CDF,,900 - 900,B,Equip . Use
Angeles NF,Tecolate,07/20-07/23 USFS,,- 3900 3900,BG,Cmpr.
Ventura County,Bradley,11/10-11/11 CC,,- 9027 9027,WBG,Equip . Use
San Bernardino,Inscription,05/30-05/30 LOCAL,,- 4100 4100,N/A,Ltng.
San Bernardino NF,Intake,07/20-07/22 USFS,,- 560 560,BG,N/A
San Diego,Flinn,06/27-06/27 CDF,,680 - 680,B,Play./W/Fire
San Diego,Assist #42,07/13-07/14 USFS,,- 1200 1200,B,N/A
San Diego,Tecate #18,08/01-08/01 CDF,,350 - 350,B,Arson
San Diego,Peak,08/20-08/20 CDF,,1102 - 1102,TBG,Cmpr.
San Diego,Mine,09/04-09/05 CDF,,950,,
"",,,,- 950,B,Arson
San Diego,Assist #76,07/24-07/24 CITY,,- 400 400,B,N/A
San Luis Obispo,Chimney Rock,08/01-08/02 CDF,,450 - 450,WBG,Arson
REGION IV,,,,-,,
Amador-E1 Dorado,Salmon,06/09-06/10 CDF,,738,,
"",,,,- 738,BG,Equip . Use
Fresno-Kings,Lightning Series,07/21-07/22 CDF,,1570,,
"",,,,- 1570,G,Ltng .
"",,DATE ORIGIN,,ACRES BURNED,VEG .,CAUSE
RANGER UNIT,FIRE NAME,START CONT. D .P .A .,,CDF OTHER TOTAL,TYPE,(general) HOMES
REGION IV (cont .),,,,,,
terra,Deer .,09/09-09/19 USFS,,- 11860 11860,BG,N/A
Yosemite NP,Yosemite #1,06/27-06/28 NP,,- 650 650,N/A,N/A
Madera-Mariposa,Coulterville,08/14-08/14 CDF,,630 - 630,B,Arson
San Benito-Monterey,Bryant Canyon,05/24-05/24 CDF,,2677 - 2677,BG,Equip . Use
San Benito-Monterey,Panoche #2,06/02-06/03 CDF,,1650 - 1650,BGAP,Equip . Use
San Benito-Monterey,Deer Valley Ranch 06/17-06/17,CDF,,960 - 960,WAP,Equip . Use
San Benito-Monterey,River,11/06-11/08 CDF,,5375 - 5375,WBG,Debris 1
San Benito-Monterey,USFS Assist,11/06-11/12 USFS,,,,
"",,,,- 2165 2165,B,N/A
Kern County,Dutch Kern #30,07/11-07/12 CC,,,,
"",,,,- 540 540,B,N/A
Toyiabe NF,TOF Assist #1,07/16-07/19 USFS,,,,
"",,,,- 3500 3500,TBG,N/A
Tuolumne-Calaveras,Hunt,09/11-09/11 CDF,,380,,
"",,,,- 380,TWB,Misc .
