"",,,DATE DATE,ACRES,,HOMES,LIVE
FIRE NAME,COUNTY,CAUSE,STARTED CONTAINED BURNED,,,DESTROYED,LOST
Cashbaugh,Inyo,Arson,03/04 n/a,602,,0,0
Peach,Riverside,Playing/W Fire,04/17 04/17,350,,0,0
SLU 73,San luis obispo,Miscellaneous,04/19 04/19,600,,0,0
SLU 864,San luis obispo,Miscellaneous,05/05 05/09,325,,0,0
Winchester #1,Riverside,Lightning,05/07 05/07,1022,,0,0
Gerber,Stanislaus,Equipment Use,05/07 05/11,1470,,0,0
Gill,Stanislaus,Lightning,05/09 05/11,300,,0,0
Ave 32,Tulare,Equipment Use,05/14 05/14,365,,0,0
SLU 966,San Luis Obispo,Equipment Use,05/14 05/14,875,,0,0
Nunez,Fresno,smoking,05/19 05/19,1000,,0,0
Conover,Riverside,Equipment Use,05/23 05/23,350,,0,0
Morse,Monterey,Campfire,05/31 06/01,160,,37,0
Eagle #1,Lake,Miscellaneous,06/03 06/04,"762 ,",,8,0
State 767 (Bull),Riverside,Lightning,06/05 06/05,1200,,0,0
Verbnia-State 82,Riverside,Miscellaneous,06/14 06/14,1260,,0,0
Merced Falls,Mariposa,Miscellaneous,06/25 06/26,300,,0,0
Haswell,Yolo,Arson,06/26 06/26,310,,0,0
Carrizo,San Diego,Campfire,07/12 07/13,400,,0,0
SLU 1690,San Luis Obispo,Playing W/Fire,07/23 07/23,300,,0,0
Alexander,Monterey,Equipment Use,07/23 07/23,343,,0,0
Romero,Merced,Equipment Use,07/23 07/23,700,,0,0
Denny,Tulare,Arson,07/31 n/a,320,,0,0
Pilitas,San Luis Obispo,Miscellaneous,08/04 08/05,1250,,0,0
SLU 1848,San Luis Obispo,Equipment Use,08/05 08/05,575,,0,0
State 1293,Riverside,Miscellaneous,08/22 08/22,360,,0,0
Case,Tulare,Lightning,08/29 09/07,4723,,0,0
Tyler,Mendocino,Arson,08/29 08/31,450,,0,0
Dog Bar,Nevada,Equipment Use,08/30 08/30,362,,4,0
Crank,Modoc,Lightning,08/30 09/04,3528,,0,0
"",,,DATE,DATE,ACRES,HOMES,LIVES
FIRE NAME COUNTY,,CAUSE,STARTED,CONTAINED,BURNED,DESTROYED,LOST
Pierce Tulare,,Lightning,08/30,08/30,725,0,0
White Deer Fresno,,Lightning,08/31,09/01,835,0,0
