"",,,,,,DWELLINGS
"",,DATE ORIGIN,ACRES BURNED,,VEG . CAUSE,AND
RANGER UNIT FIRE NAME,,START CONT . DPA CDF,,OTHER TOTAL TYPE GEN . STRUCTURES,,
REGION I,,,,,,
Humb .-D . Norte Lake,,08/26-08/27 CDF,550,-,550 TG Smkg .,-
Humb .-D . Norte Saddle,,09/04-09/12 CDF,6100,-,6100 TGB Smkg .,-
Humb .-D . Norte Klamath,,09/11-09/14 CDF,6170,-,6170 T Misc .,-
Humb .-D . Norte Charles,,12/15-12/19 CDF,808,-,808 TG Misc .,-
Lake-Napa Hwy 175,,08/24-08/24 CDF,552,-,552 WB P/W/F,-
Lake-Napa Rumsey,,09/11-09/13 CDF,1303,-,1303 B Arson,-
Lake-Napa Miller,,09/17-09/23 CDF,38600,- 38600,WBGAP Arson,7
Lake-Napa Resort,,09/18-09/18 CDF,780,-,780 B Equip Use -,
Lake-Napa Blue Ridge,,09/18-09/22 CDF,5371,-,5371 WB Equip Use -,
Mendocino Shell Creek,,09/18-09/19 CDF,360,-,360 WG Smkg .,-
Santa Clara Uvas,,07/22-07/24 CDF,330,-,330 WBG Equip Use -,
Sonoma River,,08/24-08/26 CDF,1900,-,1900 TWG Equip Use 1,
Sonoma Geysers Series,,09/11-09/14 CDF,352,-,352 WB Arson,
"",,,,,,-
Sonoma PG&E #19,,09/11-09/14 CDF,8648,-,8648 TWBG Equip Use 3,
REGION II,,,,,,
Butte Fields,,12/14-12/17 CDF,200,100,300 T Debris,-
Lassen-Modoc Lightning #97,,08/10-08/13 CDF,3753,-,3753 TBG Ltng .,-
Lassen-Modoc BLM 4516,,08/10-N/A BIM,-,2000,2000 . N/A N/A,-
Lassen-Modoc BLM 417,,09/29-N/A BLM,-,2060,2060 N/A N/A,-
Lassen NF Campbell,,08/31-09/03 USFS,-,750,750 T Ltng .,-
Nevada-Yuba-Placer 49'er,,09/11-09/14 CDF,33700,- 33700,TWBG Debris,148
Shasta-Trinity Burney,,08/29-09/01 CDF,2925,-,2925 T Misc .,-
Shasta-Trinity Fern,,09/17-09/21 CDF,7790,-,7790 TBG Equip .,24
Shasta-Trinity USFS #41,,09/28-N/A USFS,-,7600,7600 T N/A,-
Tehama-Glenn Trinity (USFS #32),,08/31-09/02 USFS,-,560,560 T N/A,-
"",,DATE,ORIGIN,ACRES BURNED,VEG .,CAUSE AND
RANGER UNIT,FIRE NAME,START CONT,DPA,CDF OTHER TOTAL,TYPE,(GEN) STRUCTURES
REGION III,,,,,,
Owens Valley,'River,05/23-05/23,CDF,618 -618,B,Cmpr . -
Riverside,State #837,05/19-05/19,CDF,627 -627,B,Misc . -
Riverside,Corona (State 983),06/03-06/04,CDF,920 - 920,BG,Equip Use -
Riverside,Local,06/04-06/04,Local,- 1800 1800,G,N/A -
Riverside,State,06/14-06/14,CDF,1200 - 1200,BG,Misc . -
Riverside,Peach,06/28-06/30,CDF,889 - 889,B,Misc . -
Riverside,State #1161,06/23-06/23,CDF,400 - 400,B,Arson -
Riverside,State,07/10-N/A,USFS,- 350 350,N/A,N/A -
Riverside,State,07/11-07/12,CDF,400 - 400,B,Misc . -
Riverside,State #1662,08/17-08/19,CDF,1000 -1000,BG,Arson -
Riverside,State #1807,09/04-09/05,CDF,4738 -4738,BG,Misc . 5
Riverside,Orange Co . Assist,09/04-09/06,CC,- 2384 2384,WBG,Equip Use -
Riverside,State #1825,09/05-09/05,CDF,750 - 750,BGAP,Cmpr . 2
Riverside,Benton,10/09-10/10,CDF,2000 - 2000,BG,Cmpr . -
Riverside,State #2056,10/11-10/12,CDF,327 - 327,B,Equip Use -
Riverside,State #2428,12/09-12/09,CDF,1135 -1135,BG,Equip Use -
San Bernardino,Spoor,07/22-07/23,CDF,415 - 415,B,P/W/F -
San Bernardino,Yucca,08/11-08/12,CDF,931 - 931,B,Arson 3
San Bernardino,Glen Helen,09/28-09/29,CDF,345 - 345,B,Misc . -
San Bernardino,Texas,09/28-10/03,CDF,4138 7862 12000,B,Arson -
San Bernardino,Divide,10/16-10/18,USFS,- 3360 3360,B,N/A -
Venture/LA Co .,Priu,09/03-N/A,CC,- 12500 12500,B,Ltng . -
