"",,,,ACRES BURNED,
"",,DATE,ORIGIN,BY STAT RESPONSE VEG . CAUSE,
RANGER UNIT FIRE NAME,,START CONT. DPA CDF,,OTHER TOTAL TYPE GEN STRUCTURES,
REGION I,,,,,
Humboldt-Del Norte King,,08/07-08/14,CDF,3500 - 3500 TG Ltng,-
it to Mattole #2,,08/08-08/24,CDF,5000 - 5000 T Ltng,-
of Peaks,,08/08-08/15,CDF,500 - 500 T Ltng,-
Shipman,,08/07-08/08,CDF,3500 - 3500 T Ltng,-
Rainbow,,08/08-08/12,CDF,1500 - 1500 T Ltng,-
Island Mt . Series,,09/20-09/22,CDF,1470 - 1470 TGW Equip Use,1
Lake-Napa Eagle,,08/06-08/07,CDF,1760 180 1940 WB Arson,-
Santa Clara Long Gulch,,07/14-07/17,CDF,2100 - 2100 GWB' Misc .,-
REGION II,,,,,
Lassen-Modoc Day,,08/10-08/13,USFS,4166 541 4707 TGWB Ltng,3
of of Lightning #79,,08/10-08/12,BIM,178 400 578 B Ltng,-
Nev-Yuba-Placer Forest Hill,,07/20-07/20,CDF,300 - 300 GB Arson,-
Shasta-Trinity Bald,,08/09-08/12,CDF,2782 - 2782 GW Ltng,-
of If Kanaka,,08/08-08/15,NPS,1396 1673 3069 TGB Ltng,-
"of"" Devil",,08/08-08/15,CDF,600 - 600 TW Ltng,-
Bow,,08/09-08/13,CDF,650 - 650 T Ltng,-
Bear,,08/08-08/12,USFS,1175 300 1475 TGWB Ltng,-
If if Long Valley,,08/10-08/15,CDF,110 490 600 TWB Ltng,-
Tehama-Glenn Pine (Campbell),,08/06-08/16,CDF,86388 39504 125892 TGWB Equip Use,27
"of"" Dye",,08/06-08/08,CDF,4973 227 5200 WB Equip Use,-
"If"" Mud",,08/08-08/10,CDF,4500 - 4500 W Ltng,2
"it"" Elk Horn",,08/09-08/14,CDF,15 309 324 B Ltng,-
"",,,,ACRES BURNED,
"",,DATE ORIGIN,,BY STAT RESPONSE VEG. CAUSE,
RANGER UNIT FIRE NAME,,START CONT DPA,,CDF OTHER TOTAL TYPE GEN STRUCTURES,
Region III,,,,,
Riverside Bedford 923,,06/27-06/29 CDF,,2190 2190 B Misc,
it State 914,,06/27 —06/27 CDF,,800 800 B Misc,2
San Bernardino Shultz (Yorba),,07/12-07/13 CDF,,6040 6040 G Play w/fire 1,
San Diego Morrettis,,06/28-06/30 BIA,,2510 1840 4350 GB Arson,5
If If Bingo Rincon #3,,06/26-06/27 BIA,,- 300 300 B Arson,-
u It Dehesa #2,,06/27-06/28 CDF,,1500 - 1500 B Misc,5
to if Cuyamaca,,08/06-08/08 CDF,,400 - 400 WB Ltng,-
n to Paint,,09/10— 09/13 CDF,,3400,
"",,,,- 3400 WB Equip Use,21
San Luis Obispo SLU 1626,,06/20-06/21 CDF,,600 - 600 WB Arson,3
REGION IV,,,,,
Amador-E1 Dorado Butte PG&E #24,,11/06-11/07 CDF,,640 640 GB Equip Use -,
STATE TOTAL 31 FIRES,,"CDF ACRES BURNED 144,643",,STRUCTURES 70,
