REGION,,FIRE DATE,ORIGIN,,ACRES BURNED,,VEGETATION,CAUSE,STRUCTURES,,FATALffIES
RANGER UNIT,,NAME STARTED CONTAINED,DPA,CDF,OTHER,1056,TYPE,(GENERAL),DESTROYED,DAMAGED,FIRE 1CwTVL.
R83 ON I,,,,,,,,,,,
HUMBOLDT- 00 1. NORTE,,MARTIN SERIES,CDF,1 ;453,0,"t,463",TB ',ARSON,,0,
LAKE - NAPA,,LIGHTNING #1 0M 4,CDF,Z150,,2.150,a,,105,,
LAKE - NAPA,,BORAX,CDF,1750,2001960,,'' W '',UNDET,'',,0 wo
ON4,,,,,,,,,,,
AMADOR -- ELDORADO,,FARNHAM,,,,,,,,,
AMADOR- ELDORADO,,CLEVELAND,,,,,,,,,
MADERA - MARIPOSA,,SNEWNG,,,,,,,,,
MADERA - MARIPOSA,,LAPALOMA,,,,,,,,,
MADERA - MARIPOSA,,DRY CREEL,,,,,,,,,
SAN BENITO -MONTEREY,,' JOLAN #2,,,,,,,,,
SAN BENITO - MONTEREY,,ARROYO SEGO,,,,,,,,,
SAN BENITO - . MONTEREY,,SLICK ROCK,,,,,,,,,
TUOLUMNE-CALAVERAS,,MOCCASIN,,,,,,,,,
TLJOLUMNE-CALAVERAS,,OLD GULCH,,,,,,,,,
