RANGER UNIT,,,,,ACRES BURNED I,VEG.,,,,,
A AREA,FIRE NAME,I,START I CONT. I DPA I,,CDF OTHER I TOTAL,TYPE,I CAUSE,,,IDEST. I DAM. I FIRE,CIVIL
"110""",,,,,,,,,,,
KLAMATH NF,DILLON COMPLEX,,07/20194 08/18/%94 USFS,,"28,953 28,953",N/A,LIGHTNING,,,0 0 0,0
MENDOCINO ANF-3414,FISH,,08/15194 08/18194 CDF,,635 635,T,EQUIP. USE,,,0 0 0,0
MENDOCINO NF,SUGARFOOT,,08127/94 N/A USFS,,"2,788 2,788",N/A,N/A,,,0 0 0,0
KLA - MATH NF,SPECIMEN,,09/17/94 N/A US;;,,6463 6 463,N/A,LIGHTNING,,,0 0 0,0
".",,,,,,,,,,,
SHASTA-TRINITY,SCHINDEL ESCAPE,,04/04194 04/05/94 CDF,,670 670,B,ARSON,,,0 0 0,0
PLUMAS NF,,,06Q3S4 0=0 USFS,,"2,000 2,000",N/A,N/A,,,0 0 0,0
BUTTE,RAULSON,,06/30/94 07/01/94 CDF,,"1,000 1,000",W,EQUIPMENT,,,13 0 0,0
SHASTA-TRINITY,BROWNS,,07/12194 07/14/94 CDF,,"1,650 1,650",TB,VEHICLE,,,4 1 0,0
LASSEN-MODOC,LIGHTNING #58,,07/23194 012IS4 CDF,,"1,550 1,550",G,LIGHTNING,,,0 0 0,0
TAHOE NF (USFS ASSIST),CRYSTAL,,08=4 08/07/I4 USFS,,"7,310 7,310",NA,EQUIP. USE,,,0- 0 0,0
NEVADA-YUBA-PLACER,P G & E (TRAUNER),,08/07/94 08108/94 CDF,,500 500,TWB,ELEC. POW.,,,0 34 0,0
NEVADA-YUBA-PLACER,HIRSCHDALE,,08/11/94 08/14/94 CDF,,325 325,B,ELEC. POW.,,,0 0 0,0
LASSEN-MODOC,WIDOW,,08/17/94 08/17/94 CDF,,350 350,T,VEHICLE,,,0 0 0,0
TAHOE NF,COTTONWOOD,,08/16194 08/24/94 USFS,,"43,800 43,800",N/A,N/A,,,0 0 0,0
NEVADA-YUBA-PLACER,BRIDGE,,08/24M4 08/24M4 CDF,,310 310,B,UNDET.,,,0 0 0,0
LASSEN NF,BARKLEY,,09/18194 09/24/94 CDF,,"12,462 27,938 40,400",G,LIGHTNING,,,0 0 0,0
BUTTE,BARKLEY,,09/18/94 09/24/94 CDF,,"1,818 1,818",TB,LIGHTNING,,,0 0 0,0
LASSEN-MODOC,LIGHTNING 66,1,09/181941 09/20/941 CDF,1,"1,0251 1,0251",,LIGHTNING,,,1 0 1 0 1 0,0
RIVERSIDE,LOCAL,,=80 04=4 LOCAL,,"1,400 lAw",B,UNDET .,,,0 0 0,0
SAN LUIS OBISPO,ASSIST #22 (SODA),,05/23194 05/23/94 BLM,,"3,380 3,380",N/A,EQUIPMENT,,,0 0 0,0
SAN LUIS OBISPO,BRANCH,,06/I8/94 0=14 LOCAL,,"2A00 2,400 G/AGPROD EQUIPMENT",,,,,0 0 . 0,0
ISAN OBISPO,HWY 41,,06/20/%94 06T0S4 CDF,,1 1,,,,,,
RANGER UN IT,,,,DATE,ORIGIN,,ACRES BURNED,,VEG .,,,STRUCTURES FATALITIES,
"& AREA",,FIRE NAME,,START CONT.,DPA,,CDF I OTHER,TOTAL,TYPE,CAUSE,,DEST FIRE. DAM .,CIVIL
"bfk-,X, ON lj",,,,,,,,,,,,,
SAN DIEGO,,SAN FEUPE,,0620/94 06/21/94,CDF,,740,740,B,VEHICLE,,0 0 0,0
ANGELES NF,,SCOUT,,062594 06/2194,USFS,,"3,023","3,023",N/A,CAMPFIRE,,9 0 0,0
ANGELES NF,,SHOOTING,,06125194 062=,USFS,,3A90,"3,490",NOW,N/A,,0 0 0,0
RIVERSIDE,,STATE (BAILEY),,06125/95 01=95,CDF,,"7,000","7,000",G13,EQUIPMENT,,8 2 0,0
CLEVELAND NF,,SECOND,,0626/94 N/A,USFS,,"4,900","4,900",N/A,N/A,,0 0 0,0
SEQUOIA NF,,LUCAS COMPLEX,,06M94 N/A,USFS,,SAW,"8,464",N/A,LIGHTNING,,40 0 0,0
RIVERSIDE,,GIBBEL,,06127/94 06/28/94,CDF,,818,818,B,ARSON,,0 0 0,0
RIVERSIDE,,FAIRVIEW,,0627/94 0629V4,CDF,,"1,760","1,760",B,ARSON,,0 0 0,0
RIVERSIDE,,GILMAN,,06/27/94 07/01/94,CDF,,"1,864","1,864",GB,ARSON,,0 0 0,0
RIVERSIDE,,MATTHEW,,06/27/94 06/29194,BIA,,350,350,B,DEBRIS,,0 0 0,0
SAN BERNARDINO,,MUTE,,0618/94 0628/94,BLM,,"3,500","3,500",N/A,LIGHTNING,,0 0 0,0
RIVERSIDE,,BDF 5587,,07/01/94 07/03/94,USFS,,"19,200","19,200",N/A,LIGHTNING,,14 7 0,0
SAN BERNARDINO,,DEVILS,,07/03/94 07M6/94,USFS,,"1,400 10,838","12,238",B,LIGHTNING,,YES YES 0,0
RIVERSIDE,,STATE,,07/11/94 07/12/94,CDF,,"1,000",tNm,B,ARSON,,1 0 0,0
RIVERSIDE,,GILMAN FIRE,,07/24/94 07/24/94,CDF,,"1,905","1,905",G,ARSON,,0 0 0,0
SANTA BARBARA CO . #328,,"ALSIO,",,07/30/94 08/01/94,CC,,"3,129","3,129",W,N/A,,0 0 0,0
RIVERSIDE,,HIGHWAY 74,,08/06/94 08/07/94,CDF,,"1,150","1,150",B,LIGHTNING,,0 0 0,0
SAN DIEGO,,ASSIST 42,,0=114 08/09/94,USFS,,500,500,B,UNDET .,,0 0 0,0
SAN BERNARDINO,,ASMSVOPALA2,,08/1194 O&N=,BLM,,"4,000","4,000",N/A,LIGHTNING,,0 0 0,0
SAN BERNARDINO NF,,COMPLEX,,081394 08/I3/94,USFS,,"1,800","1,800",N/A,LIGHTNING,,0 0 0,0
SAN LUIS OBISPO,,HWY 41,,08/14/94 08/19194,CDF,,"48,531","48,531",B,ARSON,,37 0 0,0
RIVERSIDE,,STATE(ESPERANZA),,08/21/94 08/23194,CDF,,657,657,B,ARSON,,0 0 0,0
