RANGER UNIT,,,DATE ORIGIN,,AC S BURNED,,VEG FATALITIES.,STRUCTURES
"& AREA",,FIRE NAME,START CONT . DPA,,CDF OTHER TOTAL,,TYPE,CAUSE DEST. DAM . FIRE CIVIL
C 6 AST `AWEA,,,,,,,,
ONOMA (EXP 001),,P G & E #8 (CAVENDALE,07/31/96 08/03196 CDF,,"2,100","2,100",BWA,POWERLINE 5 5 0 0
AKE-NAPA,,MNF-334 ASSIST (FORK),08111/96 08/25/96 USFS,,"7,200 75,780 82,980",,W,UNDETERMINED 40 0 0 0
UMBOLDT-DEL NORTE,,SRF ASSIST #15 (PANTHER),09/26/96 09/29/96 USFS,,350,350,BT,UNDETERMINED WA NA 0 0
AKE-NAPA SOLANO CO .,,GATES,10/09/96 10/11196 CDF,,1 .500,"1,500",GWB,SON 0 0 0 0
0496AU'AREA,,,,,,,,
ASSEN,,BYERS,07/02/96 07/03196 CDF,,"1,000","1,000",B,VEHICLE 0 0 0 0
UT OF STATE (NEVADA),,BELLI RANCH,08/05/96 08/08196 NEVADA,,"6,724","6,724",WA,NA NA NA 0 0
ASSEN-MODOC,,LIGHTNING #83 (DIXIE),08/16196 08120196 DF/USF,,700 600,"1,300",TW,LIGHTNING 0 0 0 0
HASTA-TRINITY NF (SHU),,USFS ASSIST #33 (ROCK FIRE),08/15/96 08/31/96 USFS,,"2,523","2,523",WA,LIGHTNING ' WA NA WA NIA
ODOC NF LMU,,MODOC NF 707 AMBROSE,08/26/98 08/28/98 USFS,,"20,412, 20,412,",,NW,LIGHTNING NA NA NA WA
IVERSIDE,,STATE (IDA),01/03/96 01/03196 CDF,,380,380,B,EQUIPMENT USE 0 0 0 0
AN DIEGO,,HONEY,01/10/96 01/11/96 CDF,,"3,500","3,500",B,UNDETERMINED 2 0 0 . 0
AN DIEGO,,OTAY #28,04/15/96 04/15/96 CDF,,"1,402","1,402",GB,CAMPFIRE 0 0 0 0
AN DIEGO,,BORREGO,04/21/96 04/25/96 CDF,,"1,325","1,325",B,UNDETERMINED 0 0 0 0
AN LUIS OBISPO,,SSIST#16,04/28196 05/03196 CC,,"7,115","7,115",GB,ELECT 0. POWER 0 0 0
AN DIEGO,,OTAY #121,04/29/96 05103/96 CDF,,"1,220","1,220",B,CAMPFIRE 1 0 0 0
IVERSIDE,,MACK,05/05/96 05/06/96 CDF,,350,350,B,EQUIPMENT USE 0 0 0 0
IVERSIDE,,PONY-STATE,05/13/98 05113196 CDF/BLM,,"1,038 150","1,188",WB,ARSON 1 1 0 0
AN DIEGO,,PALA,05/17/96 05/17/96 CDF,,357,357,B,ELECT. POWER 0 0 0 0
IVERSIDE,,STATE 837,06/01/96 06/02196 CDF,,646 7,653,GB,EQUIPMENT USE 5 2 0 0
AN BERNARDINO,,DEEP CREEK,06/01/96 06/02196 CDF,,920,920,B,ARSON 0 0 0 0
IVERSIDE,,RECHE,06/02/98 06/03/96 CDF,,850,850,T,FIREWORKS 0 0 0 0
IVERSIDE,,JACK RABBIT,06/07/96 06/07/96 CDF,,600,600,T,UNDETERMINED 0 0 0 0
IVERSIDE,,ESPARENZA,06/11/96 06/12196 CDF,,380,380,B,ARSON 0 0 0 0
AN BERNARDINO,,WEBER,06/16/96 08/16/96 CDF,,360,360,B,UNDETERMINED 4 2 0 0
OS ANGELES COUNTY,,RANCH,06/19/96 06119/96 CC,,540,540,B,NA NA NA 0 0
AN DIEGO,,EGG FIRE,06/19/96 06/20/96 CDF,,"1,000","1,000",BG,ARSON 0 0 0 0
"",,,106/23/96106/231961 CDF/BIA,,671,671,B,PLAY/W/FIRE 0 0 0 0
RANGER UNIT,,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES
"& AREA",FIRE NAME,STAR CONT .,DPA,CDF OTHER TOTAL,TYPE,CAUSE,DEST . DAM.,FIRE CIVIL
RIVERSIDE,JACK RABBIT,06/23198 06/24/96,CDF,343 343,B,UNDETERMINED,0 0,0 0
RIVERSIDE,PECHANGA,06/29/96 06/29/96,CDF/BIA,"1,336 1,336",GB,UNDETERMINED,3 1,0 0
RIVERSIDE,DOVE,08129/96 06/30196,CDF,930 930,GB,EQUIPMENT USE,14 4,0 0
RIVERSIDE,CIRCLE,06/29/96 07/01/96,CDF,"1,200 1,200",GB,EQUIPMENT USE,1 2,0 0
RIVERSIDE,KITCHING,06/29/96 06/30/96,CDF,530 530,B,EQUIPMENT USE,0 0,0 0
RIVERSIDE,STATE ASSIST (BEE),06/29/96 07/05/96,USFS,"9,620 9,620",WA,SHOOTING,WA WA,0 0
RIVERSIDE,PHILADELPHIA,07/20/96 07/20/96,LOCAL,"1,700 1,700",WA,UNDETERMINED,0 0,0 0
SAN LUIS OBISPO,SUEY CREEK,07/22/96 07/23/96,CDF,676 676,B,EQUIPMENT USE,0 0,0 0
SAN DIEGO,SLAUGHTER HOUSE,07/30/96 07/31/96,CDF,750 750,B,EQUIPMENT USE,0 0,0 0
SAN DIEGO,OTAY # 269,07131/96 08101/96,CDF,750 750,B,CAMPFIRE,0 0,0 0
RIVERSIDE,OLFSKILL,08/12/96 08/18/96,CDF,"12,142 12,142",GB,SMOKING,0 0,0 0
